,X1,X2,X3,X4,X5,X8,X9,X10,X11,X12
2017-01-01 00:00:00,-0.06020437499999999,-0.06020437499999999,-0.06020437499999999,-0.06020437499999999,-0.06020437499999999,-0.06020437499999999,-0.06020437499999999,-0.06020437499999999,-0.06020437499999999,-0.06020437499999999
2017-01-01 01:00:00,-0.055036575000000004,-0.055036575000000004,-0.055036575000000004,-0.055036575000000004,-0.055036575000000004,-0.055036575000000004,-0.055036575000000004,-0.055036575000000004,-0.055036575000000004,-0.055036575000000004
2017-01-01 02:00:00,-0.04599292499999999,-0.04599292499999999,-0.04599292499999999,-0.04599292499999999,-0.04599292499999999,-0.04599292499999999,-0.04599292499999999,-0.04599292499999999,-0.04599292499999999,-0.04599292499999999
2017-01-01 03:00:00,-0.03820162499999999,-0.03820162499999999,-0.03820162499999999,-0.03820162499999999,-0.03820162499999999,-0.03820162499999999,-0.03820162499999999,-0.03820162499999999,-0.03820162499999999,-0.03820162499999999
2017-01-01 04:00:00,-0.035360325,-0.035360325,-0.035360325,-0.035360325,-0.035360325,-0.035360325,-0.035360325,-0.035360325,-0.035360325,-0.035360325
2017-01-01 05:00:00,-0.03228885,-0.03228885,-0.03228885,-0.03228885,-0.03228885,-0.03228885,-0.03228885,-0.03228885,-0.03228885,-0.03228885
2017-01-01 06:00:00,-0.028227375,-0.028227375,-0.028227375,-0.028227375,-0.028227375,-0.028227375,-0.028227375,-0.028227375,-0.028227375,-0.028227375
2017-01-01 07:00:00,-0.030195,-0.030195,-0.030195,-0.030195,-0.030195,-0.030195,-0.030195,-0.030195,-0.030195,-0.030195
2017-01-01 08:00:00,-0.03300165000000001,-0.03300165000000001,-0.03300165000000001,-0.03300165000000001,-0.03300165000000001,-0.03300165000000001,-0.03300165000000001,-0.03300165000000001,-0.03300165000000001,-0.03300165000000001
2017-01-01 09:00:00,-0.038897100000000004,-0.038897100000000004,-0.038897100000000004,-0.038897100000000004,-0.038897100000000004,-0.038897100000000004,-0.038897100000000004,-0.038897100000000004,-0.038897100000000004,-0.038897100000000004
2017-01-01 10:00:00,-0.045547425,-0.045547425,-0.045547425,-0.045547425,-0.045547425,-0.045547425,-0.045547425,-0.045547425,-0.045547425,-0.045547425
2017-01-01 11:00:00,-0.04992075,-0.04992075,-0.04992075,-0.04992075,-0.04992075,-0.04992075,-0.04992075,-0.04992075,-0.04992075,-0.04992075
2017-01-01 12:00:00,-0.049834125,-0.049834125,-0.049834125,-0.049834125,-0.049834125,-0.049834125,-0.049834125,-0.049834125,-0.049834125,-0.049834125
2017-01-01 13:00:00,-0.046854225,-0.046854225,-0.046854225,-0.046854225,-0.046854225,-0.046854225,-0.046854225,-0.046854225,-0.046854225,-0.046854225
2017-01-01 14:00:00,-0.0446292,-0.0446292,-0.0446292,-0.0446292,-0.0446292,-0.0446292,-0.0446292,-0.0446292,-0.0446292,-0.0446292
2017-01-01 15:00:00,-0.048965400000000006,-0.048965400000000006,-0.048965400000000006,-0.048965400000000006,-0.048965400000000006,-0.048965400000000006,-0.048965400000000006,-0.048965400000000006,-0.048965400000000006,-0.048965400000000006
2017-01-01 16:00:00,-0.0571329,-0.0571329,-0.0571329,-0.0571329,-0.0571329,-0.0571329,-0.0571329,-0.0571329,-0.0571329,-0.0571329
2017-01-01 17:00:00,-0.06212745000000001,-0.06212745000000001,-0.06212745000000001,-0.06212745000000001,-0.06212745000000001,-0.06212745000000001,-0.06212745000000001,-0.06212745000000001,-0.06212745000000001,-0.06212745000000001
2017-01-01 18:00:00,-0.061724025,-0.061724025,-0.061724025,-0.061724025,-0.061724025,-0.061724025,-0.061724025,-0.061724025,-0.061724025,-0.061724025
2017-01-01 19:00:00,-0.060464250000000004,-0.060464250000000004,-0.060464250000000004,-0.060464250000000004,-0.060464250000000004,-0.060464250000000004,-0.060464250000000004,-0.060464250000000004,-0.060464250000000004,-0.060464250000000004
2017-01-01 20:00:00,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515
2017-01-01 21:00:00,-0.055133100000000004,-0.055133100000000004,-0.055133100000000004,-0.055133100000000004,-0.055133100000000004,-0.055133100000000004,-0.055133100000000004,-0.055133100000000004,-0.055133100000000004,-0.055133100000000004
2017-01-01 22:00:00,-0.05371245,-0.05371245,-0.05371245,-0.05371245,-0.05371245,-0.05371245,-0.05371245,-0.05371245,-0.05371245,-0.05371245
2017-01-01 23:00:00,-0.051754725,-0.051754725,-0.051754725,-0.051754725,-0.051754725,-0.051754725,-0.051754725,-0.051754725,-0.051754725,-0.051754725
2017-01-02 00:00:00,-0.04383720000000001,-0.04383720000000001,-0.04383720000000001,-0.04383720000000001,-0.04383720000000001,-0.04383720000000001,-0.04383720000000001,-0.04383720000000001,-0.04383720000000001,-0.04383720000000001
2017-01-02 01:00:00,-0.04146615,-0.04146615,-0.04146615,-0.04146615,-0.04146615,-0.04146615,-0.04146615,-0.04146615,-0.04146615,-0.04146615
2017-01-02 02:00:00,-0.039592575000000005,-0.039592575000000005,-0.039592575000000005,-0.039592575000000005,-0.039592575000000005,-0.039592575000000005,-0.039592575000000005,-0.039592575000000005,-0.039592575000000005,-0.039592575000000005
2017-01-02 03:00:00,-0.037770975,-0.037770975,-0.037770975,-0.037770975,-0.037770975,-0.037770975,-0.037770975,-0.037770975,-0.037770975,-0.037770975
