,X1,X2,X3,X4,X5
2017-01-02 05:00:00,-337.6216685951676,-1927.2756226964864,-349.3621345951849,-5573.681139071777,-4091.664546159577
2017-01-02 06:00:00,-711.9830966680561,-2340.3767953730962,-482.5953873649358,-6193.69604416818,-4566.20409758071
2017-01-02 07:00:00,-1636.8189209463992,-3009.724609052186,-803.9537372634645,-7555.065233920423,-5268.002408339144
2017-01-02 08:00:00,-2208.681008630287,-3625.538628309878,-1008.3395473954574,-8521.062617869076,-5982.24026652787
2017-01-02 09:00:00,-2541.0813652542392,-4203.798471131518,-1118.3828488771005,-8890.952799807888,-6581.832092867441
2017-01-02 10:00:00,-3137.336725515909,-4604.175322713541,-1313.9710669979572,-9514.94540105429,-6904.020709065165
2017-01-02 11:00:00,-2936.1685686068195,-4614.127958197556,-1242.0727586328258,-9175.129355379704,-6915.564046548784
2017-01-02 12:00:00,-3136.0133763145222,-4615.118869242338,-1304.7401738016256,-9321.10486236677,-6845.6236561190835
2017-01-02 13:00:00,-3545.6055680264453,-4717.688671055526,-1442.3721476044752,-9821.388564637014,-6893.497227552522
2017-01-02 14:00:00,-3388.0485617150835,-4656.244320669336,-1386.0606398643085,-9555.241080484,-6822.23239783895
2017-01-02 15:00:00,-3278.7146092962657,-4692.6125126743955,-1347.805300804459,-9388.515628866095,-6871.0778737713845
2017-01-02 16:00:00,-2941.907015328471,-4331.1726762564,-1230.7131331771589,-8891.427481103296,-6478.528743843817
2017-01-02 17:00:00,-3429.6339778761007,-4764.409689846587,-1408.3129322752102,-9787.154562262378,-7007.667450750794
2017-01-02 18:00:00,-3702.6661609852645,-5131.94861671656,-1509.1799537128936,-10320.21623903179,-7460.607728783571
2017-01-02 19:00:00,-3801.440361583431,-5222.963197077215,-1547.7664713463691,-10558.918910608932,-7592.82754445025
2017-01-02 20:00:00,-3755.278617306153,-5126.587483490897,-1534.552299358006,-10552.793770367258,-7507.706997590954
2017-01-02 21:00:00,-3787.50406276599,-4934.483549223567,-1549.3540242500871,-10679.081360138522,-7311.5582552549795
2017-01-02 22:00:00,-2819.668903687406,-4198.387631794963,-1206.7300668985508,-9116.052681914385,-6484.472806747075
2017-01-02 23:00:00,-2208.133355119504,-3566.7313857588474,-991.449023358415,-8154.890256179924,-5778.519331322896
2017-01-03 00:00:00,-1943.5803526031787,-3420.328308206658,-900.1809373193457,-7779.8555681998805,-5635.375686300165
2017-01-03 01:00:00,-1272.229392450255,-2669.493759507068,-663.5216251048603,-6717.652118142672,-4791.195972149667
2017-01-03 02:00:00,-841.9436986898896,-2364.5245638541187,-513.0200086485868,-6062.659465428622,-4464.143028163418
2017-01-03 03:00:00,-722.3548567162939,-2059.052059560396,-473.5626966243335,-5932.500251564632,-4136.506333118646
2017-01-03 04:00:00,-626.6756614184105,-1924.4944176223444,-442.6507884850943,-5842.7295450651,-4007.1013466807767
2017-01-03 05:00:00,-458.6918129799724,-1963.1982175158607,-385.8969065085969,-5630.820813882072,-4078.649695585351
2017-01-03 06:00:00,-823.6535507333076,-2212.1445069370648,-519.6199205110638,-6319.171171622623,-4394.043005346012
2017-01-03 07:00:00,-1375.327841525911,-2803.809501962037,-719.2536966470449,-7304.955988244865,-5100.266139424652
2017-01-03 08:00:00,-2039.2105791538138,-3534.6633287330196,-956.5280571703629,-8426.395932610827,-5947.9302970402405
2017-01-03 09:00:00,-2620.1202613377336,-4205.6877434014705,-1164.14751396553,-9407.676638895915,-6726.202674312288
2017-01-03 10:00:00,-2621.7966374317966,-4295.327963100499,-1155.9887346544979,-9218.903277855537,-6759.080164546367
2017-01-03 11:00:00,-3009.875074716741,-4582.890986994127,-1277.1736832288282,-9491.240528406335,-6950.424233295564
2017-01-03 12:00:00,-3113.729975664529,-4538.558119468778,-1314.291842525524,-9666.673670043916,-6899.005767072859
2017-01-03 13:00:00,-3257.7641436894905,-4834.9227725812725,-1365.7702334741166,-9909.978187877672,-7242.737556967913
2017-01-03 14:00:00,-3091.566165410723,-4587.214004209374,-1306.3704075993464,-9629.234253819937,-6955.438186307632
2017-01-03 15:00:00,-2723.1766472189715,-4294.225384776885,-1184.8328604755343,-9228.488979945756,-6697.819450054401
2017-01-03 16:00:00,-2831.8941386027186,-4294.445438022383,-1229.1626309444107,-9531.889276177166,-6742.505721313217
2017-01-03 17:00:00,-2971.4596239124294,-4584.8146899880385,-1284.517598511139,-9887.39843234933,-7123.714929316582
2017-01-03 18:00:00,-3272.8719375051624,-4802.010869962358,-1397.7172734441037,-10516.301499551679,-7420.05601710537
2017-01-03 19:00:00,-3464.705203118885,-4910.900796840569,-1471.7529559092509,-10960.1021164202,-7590.780565126102
2017-01-03 20:00:00,-2955.029223839897,-4682.508489445754,-1295.0664128231642,-10218.90357006959,-7370.315999097993
2017-01-03 21:00:00,-3007.274297422335,-4605.678651335305,-1319.212714041297,-10426.909873525115,-7325.637709540087
2017-01-03 22:00:00,-2294.082990855554,-3685.87092621733,-1069.7889744565575,-9341.930408684702,-6303.250725979919
2017-01-03 23:00:00,-1534.8872735777813,-3327.4978954620883,-803.9230734568272,-8179.239654087515,-5932.030979726
2017-01-04 00:00:00,-1280.704006322961,-2774.979199666881,-718.5506532239835,-7869.622946695461,-5335.6358077129935
2017-01-04 01:00:00,-511.3083299418277,-2251.5101761255946,-449.0392458171113,-6689.702279462981,-4772.9332361327015
2017-01-04 02:00:00,-187.26910543833264,-1856.3579219115784,-338.700025507276,-6262.083918510094,-4359.055945608021
2017-01-04 03:00:00,-200.0,-1821.1566786335943,-227.01227188145256,-5828.09192694866,-4362.6596332100235
2017-01-04 04:00:00,-200.0,-1632.742679854014,-183.4369821817151,-5716.022782792357,-4188.562997476462
