,X1,X2,X3,X4,X5,X8,X9,X10,X11,X12
2017-01-01 15:00:00,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001
2017-01-01 15:30:00,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335
2017-01-01 16:00:00,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004
2017-01-01 16:30:00,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961
2017-01-01 17:00:00,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225
2017-01-01 17:30:00,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001
2017-01-01 18:00:00,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004
2017-01-01 18:30:00,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575
2017-01-01 19:00:00,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994
2017-01-01 19:30:00,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593
2017-01-01 20:00:00,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494
2017-01-01 20:30:00,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536
2017-01-01 21:00:00,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578
2017-01-01 21:30:00,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084
2017-01-01 22:00:00,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559
2017-01-01 22:30:00,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659
2017-01-01 23:00:00,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728
2017-01-01 23:30:00,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665
2017-01-02 00:00:00,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005
2017-01-02 00:30:00,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739
2017-01-02 01:00:00,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004
2017-01-02 01:30:00,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997
2017-01-02 02:00:00,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996
2017-01-02 02:30:00,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245
2017-01-02 03:00:00,-0.037402200000000003,-0.037402200000000003,-0.037402200000000003,-0.037402200000000003,-0.037402200000000003,-0.037402200000000003,-0.037402200000000003,-0.037402200000000003,-0.037402200000000003,-0.037402200000000003
2017-01-02 03:30:00,-0.03813975,-0.03813975,-0.03813975,-0.03813975,-0.03813975,-0.03813975,-0.03813975,-0.03813975,-0.03813975,-0.03813975
2017-01-02 04:00:00,-0.038877300000000004,-0.038877300000000004,-0.038877300000000004,-0.038877300000000004,-0.038877300000000004,-0.038877300000000004,-0.038877300000000004,-0.038877300000000004,-0.038877300000000004,-0.038877300000000004
2017-01-02 04:30:00,-0.036258750000000006,-0.036258750000000006,-0.036258750000000006,-0.036258750000000006,-0.036258750000000006,-0.036258750000000006,-0.036258750000000006,-0.036258750000000006,-0.036258750000000006,-0.036258750000000006
2017-01-02 05:00:00,-0.033640199999999995,-0.033640199999999995,-0.033640199999999995,-0.033640199999999995,-0.033640199999999995,-0.033640199999999995,-0.033640199999999995,-0.033640199999999995,-0.033640199999999995,-0.033640199999999995
2017-01-02 05:30:00,-0.0393525,-0.0393525,-0.0393525,-0.0393525,-0.0393525,-0.0393525,-0.0393525,-0.0393525,-0.0393525,-0.0393525
2017-01-02 06:00:00,-0.0450648,-0.0450648,-0.0450648,-0.0450648,-0.0450648,-0.0450648,-0.0450648,-0.0450648,-0.0450648,-0.0450648
2017-01-02 06:30:00,-0.04773285,-0.04773285,-0.04773285,-0.04773285,-0.04773285,-0.04773285,-0.04773285,-0.04773285,-0.04773285,-0.04773285
2017-01-02 07:00:00,-0.0504009,-0.0504009,-0.0504009,-0.0504009,-0.0504009,-0.0504009,-0.0504009,-0.0504009,-0.0504009,-0.0504009
2017-01-02 07:30:00,-0.05366295,-0.05366295,-0.05366295,-0.05366295,-0.05366295,-0.05366295,-0.05366295,-0.05366295,-0.05366295,-0.05366295
2017-01-02 08:00:00,-0.056925,-0.056925,-0.056925,-0.056925,-0.056925,-0.056925,-0.056925,-0.056925,-0.056925,-0.056925
2017-01-02 08:30:00,-0.05905845,-0.05905845,-0.05905845,-0.05905845,-0.05905845,-0.05905845,-0.05905845,-0.05905845,-0.05905845,-0.05905845
2017-01-02 09:00:00,-0.0611919,-0.0611919,-0.0611919,-0.0611919,-0.0611919,-0.0611919,-0.0611919,-0.0611919,-0.0611919,-0.0611919
2017-01-02 09:30:00,-0.06034545,-0.06034545,-0.06034545,-0.06034545,-0.06034545,-0.06034545,-0.06034545,-0.06034545,-0.06034545,-0.06034545
2017-01-02 10:00:00,-0.059499,-0.059499,-0.059499,-0.059499,-0.059499,-0.059499,-0.059499,-0.059499,-0.059499,-0.059499
2017-01-02 10:30:00,-0.05977125,-0.05977125,-0.05977125,-0.05977125,-0.05977125,-0.05977125,-0.05977125,-0.05977125,-0.05977125,-0.05977125
2017-01-02 11:00:00,-0.06004349999999999,-0.06004349999999999,-0.06004349999999999,-0.06004349999999999,-0.06004349999999999,-0.06004349999999999,-0.06004349999999999,-0.06004349999999999,-0.06004349999999999,-0.06004349999999999
2017-01-02 11:30:00,-0.05911785,-0.05911785,-0.05911785,-0.05911785,-0.05911785,-0.05911785,-0.05911785,-0.05911785,-0.05911785,-0.05911785
2017-01-02 12:00:00,-0.0581922,-0.0581922,-0.0581922,-0.0581922,-0.0581922,-0.0581922,-0.0581922,-0.0581922,-0.0581922,-0.0581922
2017-01-02 12:30:00,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515,-0.0592515
2017-01-02 13:00:00,-0.060310800000000005,-0.060310800000000005,-0.060310800000000005,-0.060310800000000005,-0.060310800000000005,-0.060310800000000005,-0.060310800000000005,-0.060310800000000005,-0.060310800000000005,-0.060310800000000005
2017-01-02 13:30:00,-0.060142499999999995,-0.060142499999999995,-0.060142499999999995,-0.060142499999999995,-0.060142499999999995,-0.060142499999999995,-0.060142499999999995,-0.060142499999999995,-0.060142499999999995,-0.060142499999999995
2017-01-02 14:00:00,-0.05997419999999999,-0.05997419999999999,-0.05997419999999999,-0.05997419999999999,-0.05997419999999999,-0.05997419999999999,-0.05997419999999999,-0.05997419999999999,-0.05997419999999999,-0.05997419999999999
2017-01-02 14:30:00,-0.061211699999999994,-0.061211699999999994,-0.061211699999999994,-0.061211699999999994,-0.061211699999999994,-0.061211699999999994,-0.061211699999999994,-0.061211699999999994,-0.061211699999999994,-0.061211699999999994
2017-01-02 15:00:00,-0.062449199999999996,-0.062449199999999996,-0.062449199999999996,-0.062449199999999996,-0.062449199999999996,-0.062449199999999996,-0.062449199999999996,-0.062449199999999996,-0.062449199999999996,-0.062449199999999996
2017-01-02 15:30:00,-0.06640425,-0.06640425,-0.06640425,-0.06640425,-0.06640425,-0.06640425,-0.06640425,-0.06640425,-0.06640425,-0.06640425
2017-01-02 16:00:00,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593
2017-01-02 16:30:00,-0.07394804999999999,-0.07394804999999999,-0.07394804999999999,-0.07394804999999999,-0.07394804999999999,-0.07394804999999999,-0.07394804999999999,-0.07394804999999999,-0.07394804999999999,-0.07394804999999999
