Datetime,X1,X2,X3,X4,X5
2017-01-01 00:00:00,-32.983683518288196,-33.737497287309765,-23.007959188640324,-21.97026855489346,-37.43740330623797
2017-01-01 00:30:00,-11.966638805710069,-12.789067950978344,-20.67846748631217,-11.583415864107634,-24.08960327786329
2017-01-01 01:00:00,-14.682395308371442,-15.004169387798093,-20.851573464885963,-10.967063115804924,-24.351949577047932
2017-01-01 01:30:00,-13.98898764874624,-14.629951643643174,-18.51258445811893,-11.830583039357997,-12.571423101537308
2017-01-01 02:00:00,-10.153380771464537,-9.982554849985823,-18.497983615151647,-10.987649576095867,-12.590858724850271
2017-01-01 02:30:00,-12.703054891522717,-13.218567864817961,-18.80335605119219,-11.811096294989191,-12.500382020621737
2017-01-01 03:00:00,-12.214222526575384,-12.164710303479099,-23.75006150690839,-10.879183376749381,-12.028870557494672
2017-01-01 03:30:00,-9.756191536979147,-9.588661868048904,-30.42649500944226,-11.901333301654574,-25.714171169718096
2017-01-01 04:00:00,-6.92702696513609,-7.541017786205193,-37.75889270949633,-21.948886209096628,-50.770219206972705
2017-01-01 04:30:00,-16.325078637288737,-17.973434935188475,-43.17184744108044,-22.0411672055336,-60.254490159297035
2017-01-01 05:00:00,-31.078861927900345,-33.00832622884863,-71.44721201784603,-34.9457542280079,-73.51614446408037
2017-01-01 05:30:00,-80.7569276283699,-82.96058404638318,-115.11474006115701,-89.46805111073303,-154.96765220617746
2017-01-01 06:00:00,-223.48155079969396,-211.55937707198964,-163.9133559792643,-227.91923187619452,-266.39166819194895
2017-01-01 06:30:00,-340.150365321315,-336.86630962478336,-182.943051357506,-620.4406837991704,-591.7671348394757
2017-01-01 07:00:00,-422.26237055358337,-450.14306006286034,-198.50582704863496,-1023.6641131790215,-766.4126602262363
2017-01-01 07:30:00,-486.73531727471436,-508.3600238841243,-253.62368757028074,-1404.547554010009,-1097.4991851965744
2017-01-01 08:00:00,-512.8306772439977,-527.5556481026887,-259.86552157138465,-1801.088837490386,-1204.5475951892913
2017-01-01 08:30:00,-585.5429648743003,-624.8288757210547,-261.43459912733846,-1898.86520837621,-1307.5503003775852
2017-01-01 09:00:00,-627.5670864876128,-669.1514937516716,-261.50688595370355,-1762.3839866287535,-1384.1529193705526
2017-01-01 09:30:00,-703.1760024016413,-723.4452935478861,-277.51239335165786,-1946.032792122678,-1297.5409125509364
2017-01-01 10:00:00,-777.5204846707946,-772.1712163495507,-282.47982688082817,-1934.0733598751592,-1221.0690045433244
2017-01-01 10:30:00,-686.6551660872941,-721.4196467072603,-284.0895286623906,-2069.4421111356887,-1198.7789258052583
2017-01-01 11:00:00,-729.2865917357709,-766.2137224015265,-258.9174988055038,-2066.3846746695904,-1297.2600576644993
2017-01-01 11:30:00,-725.2377604718413,-707.0857130285573,-272.11046806997507,-1938.1386658935064,-1294.6362488680527
2017-01-01 12:00:00,-726.711652896913,-713.514115860558,-262.0598817484122,-2044.881026805894,-1497.0278126487563
2017-01-01 12:30:00,-708.2380338319253,-705.8239344582151,-274.65388971319004,-1914.4073543840623,-1269.8858924425076
2017-01-01 13:00:00,-659.506245347029,-696.7475854565896,-263.05250894766914,-1869.4858862290687,-1174.5656879623514
2017-01-01 13:30:00,-677.6089905963778,-748.5806865750724,-286.04398543224005,-1775.685722811917,-1094.4272119393397
2017-01-01 14:00:00,-708.1950935189376,-731.2210520919247,-273.8197050515907,-1729.1493844287068,-1166.1480794468832
2017-01-01 14:30:00,-704.8408393318779,-741.4032807813937,-283.4419377150336,-1896.2530341038246,-1271.637697537046
2017-01-01 15:00:00,-713.2163438747715,-703.3160032919969,-287.8418466870876,-1906.2253416583117,-1504.3786430492419
2017-01-01 15:30:00,-731.810639682221,-761.8694876668227,-286.1003284777427,-1771.8386640725205,-1431.2919524036135
2017-01-01 16:00:00,-689.4303038527031,-702.029253424253,-290.59687933667584,-1893.517163207214,-1357.6645905366363
2017-01-01 16:30:00,-703.985191838377,-694.4923823192124,-278.28820368916337,-1867.3418029502084,-1317.0701177421222
2017-01-01 17:00:00,-676.3760082040907,-733.241975064463,-263.96873121124355,-1841.73394339682,-1306.3986319279886
2017-01-01 17:30:00,-594.7108752239764,-613.1508657067246,-267.6602578478011,-1720.4863171231782,-1117.3248834927874
2017-01-01 18:00:00,-535.3411653329478,-539.1225097477803,-250.37565623419434,-1625.7131395677961,-1069.2763011747193
2017-01-01 18:30:00,-484.196393442073,-503.19251187429376,-201.39678741775128,-1518.5998938623625,-1079.8331420841623
2017-01-01 19:00:00,-503.5494610317803,-505.0229701569583,-189.46843480052587,-1281.5717024776447,-920.7751681014053
2017-01-01 19:30:00,-463.93228143266805,-493.8352449078223,-135.60761754198518,-1110.2566191155972,-808.0992633292127
2017-01-01 20:00:00,-429.59584281016305,-445.71180066062,-139.900102078775,-1000.3211393828843,-670.6286877115436
2017-01-01 20:30:00,-382.870211079455,-407.33058217412,-114.38994599842607,-839.9677912897314,-665.1124227694197
2017-01-01 21:00:00,-320.78598361476924,-348.27915343835474,-84.72981998504336,-724.9060213321444,-664.8385009717337
2017-01-01 21:30:00,-262.77556962670803,-265.1012214320946,-65.80167429329943,-633.2194294209747,-500.006377808895
2017-01-01 22:00:00,-230.9174961770177,-233.29701020070817,-57.491554574701375,-500.02867325678403,-278.85949993297464
2017-01-01 22:30:00,-131.53213058530812,-143.94654529904514,-41.412581679128,-348.90513191098995,-220.5424609504523
2017-01-01 23:00:00,-112.50207502941394,-112.93786344421103,-35.62352377554613,-273.2810104694652,-138.26618349656835
2017-01-01 23:30:00,-93.75656223520132,-96.7307205336215,-28.43227180622549,-130.29294417338926,-95.68486672498466
2017-01-02 00:00:00,-33.119012190877726,-36.39983260242073,-23.6872011364636,-22.386962871365938,-36.29691794921287
2017-01-02 00:30:00,-12.013489506931016,-12.965637657893028,-21.637512094121075,-11.057892874346834,-25.628461976289383
2017-01-02 01:00:00,-14.346193406011926,-14.644424968828632,-20.07307444500366,-11.121172180175341,-24.98104237856774
2017-01-02 01:30:00,-15.08961679758283,-14.817009094757877,-17.983866535679347,-11.062209285695396,-12.590119188117436
2017-01-02 02:00:00,-9.961549956245593,-9.68449457318545,-17.63556116478451,-11.060975375475309,-12.59961946234558
2017-01-02 02:30:00,-11.529437257167467,-13.04561498477856,-18.578817749399704,-11.243342546190123,-12.628643494040801
2017-01-02 03:00:00,-12.461819068344823,-12.74867516794407,-23.59494827403906,-11.105675683387743,-12.195876335108577
2017-01-02 03:30:00,-10.1239966064143,-10.05884920230545,-28.082160809434793,-11.669585363724183,-24.107482556795052
2017-01-02 04:00:00,-7.202695311777476,-7.198767108653114,-36.67167030088257,-22.24240876818601,-50.937621910911965
2017-01-02 04:30:00,-16.450176832417032,-17.336954219271124,-43.989001705504904,-21.697785290330597,-62.35166160805273
2017-01-02 05:00:00,-30.699019686062247,-32.09954465572743,-68.11880266057473,-32.454779054638216,-73.79645865495516
2017-01-02 05:30:00,-82.98927954482848,-82.0372516863224,-118.1752470914887,-88.01500292659637,-145.47796342884024
2017-01-02 06:00:00,-205.9220586814704,-219.43373072106067,-151.14963508004192,-226.38758038074138,-280.6880274331331
2017-01-02 06:30:00,-322.620301275704,-350.14465229144366,-178.59148582900698,-595.4504567723917,-592.5741734075157
2017-01-02 07:00:00,-432.68136349005596,-441.16505381200164,-196.65119378707286,-1043.100418356992,-710.0729882130822
2017-01-02 07:30:00,-468.5246624258173,-491.4029461527107,-232.51096012492079,-1489.3891440033647,-1129.1605491107796
2017-01-02 08:00:00,-524.1153460789147,-543.4438135903997,-253.37269770517096,-1826.9269145936153,-1145.9672944435292
2017-01-02 08:30:00,-576.9592403784013,-585.2545672115469,-259.0011869987098,-1816.1373084930835,-1325.6740719341517
2017-01-02 09:00:00,-631.7862013269906,-676.9288893238903,-259.80593961594576,-1870.1645476041695,-1308.127904925698
2017-01-02 09:30:00,-699.2153398651427,-724.6766914943137,-284.05514112491306,-1917.0617893560493,-1233.4288412542835
2017-01-02 10:00:00,-723.4384025796663,-747.1344772679671,-276.42725427336273,-1942.2837364858872,-1181.4390109887074
2017-01-02 10:30:00,-747.9305185309468,-730.8299908458757,-275.1936669534193,-2148.646189660573,-1285.8172167535683
2017-01-02 11:00:00,-687.6670890776946,-760.649789409696,-276.7854896602496,-2134.75803173622,-1320.4936028737432
2017-01-02 11:30:00,-678.6423233567473,-695.8259730307287,-271.6983698880189,-1957.245658154218,-1383.1401826439742
2017-01-02 12:00:00,-676.7105843682046,-760.9971936951837,-268.29442661859326,-1961.7744756920677,-1480.6771600061402
2017-01-02 12:30:00,-663.64009066107,-758.791706462879,-266.845715625797,-1942.251472811555,-1225.0942134961338
