Datetime,X1,X2,X3,X4,X5
2017-01-01 00:00:00,-44.950322323998265,-46.526565238288114,-43.6864266749525,-33.5536844190011,-61.52700658410126
2017-01-01 01:00:00,-28.671382957117686,-29.634121031441268,-39.364157923004896,-22.797646155162916,-36.92337267858524
2017-01-01 02:00:00,-22.856435662987252,-23.201122714803784,-37.301339666343836,-22.79874587108506,-25.091240745472007
2017-01-01 03:00:00,-21.970414063554532,-21.753372171528003,-54.17655651635066,-22.780516678403956,-37.74304172721276
2017-01-01 04:00:00,-23.252105602424823,-25.51445272139367,-80.93074015057677,-43.990053414630225,-111.02470936626975
2017-01-01 05:00:00,-111.83578955627024,-115.96891027523182,-186.56195207900302,-124.41380533874093,-228.48379667025785
2017-01-01 06:00:00,-563.631916121009,-548.425686696773,-346.8564073367703,-848.3599156753648,-858.1588030314247
2017-01-01 07:00:00,-908.9976878282978,-958.5030839469846,-452.1295146189158,-2428.2116671890303,-1863.9118454228108
2017-01-01 08:00:00,-1098.373642118298,-1152.3845238237434,-521.300120698723,-3699.954045866596,-2512.0978955668766
2017-01-01 09:00:00,-1330.743088889254,-1392.596787299558,-539.0192793053614,-3708.416778751431,-2681.6938319214887
2017-01-01 10:00:00,-1464.1756507580888,-1493.590863056811,-566.5693555432188,-4003.515471010848,-2419.847930348583
2017-01-01 11:00:00,-1454.524352207612,-1473.2994354300838,-531.0279668754788,-4004.523340563097,-2591.8963065325524
2017-01-01 12:00:00,-1434.949686728838,-1419.3380503187732,-536.7137714616022,-3959.2883811899565,-2766.913705091264
2017-01-01 13:00:00,-1337.1152359434068,-1445.328272031662,-549.0964943799092,-3645.1716090409855,-2268.992899901691
2017-01-01 14:00:00,-1413.0359328508157,-1472.6243328733185,-557.2616427666243,-3625.4024185325316,-2437.7857769839293
2017-01-01 15:00:00,-1445.0269835569927,-1465.1854909588196,-573.9421751648304,-3678.064005730833,-2935.670595452855
2017-01-01 16:00:00,-1393.4154956910802,-1396.5216357434651,-568.8850830258391,-3760.8589661574224,-2674.7347082787587
2017-01-01 17:00:00,-1271.086883428067,-1346.3928407711878,-531.6289890590447,-3562.220260519998,-2423.7235154207756
2017-01-01 18:00:00,-1019.5375587750209,-1042.315021622074,-451.77244365194565,-3144.3130334301586,-2149.1094432588816
2017-01-01 19:00:00,-967.4817424644484,-998.8582150647807,-325.07605234251105,-2391.828321593242,-1728.874431430618
