,X1,X2,X3,X4,X5
2017-01-02 04:30:00,-185.7491861521432,-881.6367195649652,-180.94678760612067,-2820.088676543144,-1952.4450867831106
2017-01-02 05:00:00,-72.63445883134922,-909.8989413512843,-140.37787230079286,-2625.923302398139,-1984.0777730561438
2017-01-02 05:30:00,-264.9872097638184,-1017.3766813452021,-208.98426229439204,-2947.7578366736375,-2107.586773103433
2017-01-02 06:00:00,-253.69767925259424,-1128.1511730092543,-204.80808186341716,-2925.596999735292,-2234.919435454962
2017-01-02 06:30:00,-458.2854174154618,-1212.225622363842,-277.78730550151863,-3268.0990444328886,-2331.284662125749
2017-01-02 07:00:00,-598.070840580996,-1325.3180941989865,-327.6059211286905,-3501.1361182757587,-2461.3057809608113
2017-01-02 07:30:00,-1038.7480803654032,-1684.4065148531997,-476.34781613477395,-4053.9291156446648,-2806.696627378333
2017-01-02 08:00:00,-945.54726953244,-1741.3840541323427,-451.7953943645357,-4088.0981298866077,-2943.8704040368634
2017-01-02 08:30:00,-1263.1337390978472,-1884.1545741775349,-556.5441530309217,-4432.964487982468,-3038.3698624910066
2017-01-02 09:00:00,-1163.008410457522,-1983.673795984445,-529.516880746352,-4455.436510535192,-3224.8846402670556
2017-01-02 09:30:00,-1378.0729547967173,-2220.1246751470735,-588.8659681307485,-4435.516289272698,-3356.9474526003855
2017-01-02 10:00:00,-1484.6207181113377,-2328.215888275686,-626.9465672678751,-4615.498251434871,-3482.31458316208
2017-01-02 10:30:00,-1652.7160074045717,-2275.9594344378556,-687.0244997300821,-4899.447149619419,-3421.7061259030847
2017-01-02 11:00:00,-1464.0572300368542,-2290.1930693492386,-619.5970939249839,-4580.762121671027,-3438.2146830249267
2017-01-02 11:30:00,-1472.1113385699655,-2323.9348888483173,-622.4756647078418,-4594.367233708677,-3477.3493635238574
2017-01-02 12:00:00,-1626.3527539722688,-2455.1211711024685,-668.8442440526829,-4663.308856801431,-3558.4131077365564
2017-01-02 12:30:00,-1509.6606223422532,-2159.99769813987,-635.8959297489426,-4657.796005565338,-3287.2105483825276
2017-01-02 13:00:00,-1679.4681646796469,-2451.5643410704315,-687.8279054663801,-4753.032146552101,-3554.2877994704577
2017-01-02 13:30:00,-1866.1374033467982,-2266.1243299850944,-754.544242138095,-5068.356418084913,-3339.2094280820647
2017-01-02 14:00:00,-1692.891654846361,-2297.7551116494033,-692.6255148404068,-4775.707292647246,-3375.89566945082
2017-01-02 14:30:00,-1695.1569068687227,-2358.489209019933,-693.4351250239017,-4779.533787836755,-3446.3367283881303
2017-01-02 15:00:00,-1762.5228421724844,-2326.2346261964362,-717.5119812430706,-4893.3292617319585,-3408.9269854589343
2017-01-02 15:30:00,-1516.1917671237816,-2366.3778864779592,-630.2933195613884,-4495.186367134135,-3462.15088831245
2017-01-02 16:00:00,-1453.476509559438,-2113.610640126513,-608.6996895400249,-4407.209862583032,-3175.649214358397
2017-01-02 16:30:00,-1488.4305057690333,-2217.5620361298875,-622.0134436371341,-4484.217618520264,-3302.8795294854203
2017-01-02 17:00:00,-1774.1797433522627,-2351.307002502714,-724.9624256840546,-4984.872180726686,-3464.665238323883
2017-01-02 17:30:00,-1655.454234523838,-2413.1026873438723,-683.3505065911555,-4802.282381535693,-3543.0022124269112
2017-01-02 18:00:00,-1719.6909828400494,-2550.5464528619805,-707.130034064578,-4928.754969185016,-3709.077889172535
2017-01-02 18:30:00,-1982.9751781452153,-2581.4021638545787,-802.0499196483157,-5391.461269846774,-3751.529839611035
2017-01-02 19:00:00,-1824.0653494655126,-2773.6496626047183,-746.0759630217328,-5140.991559243385,-3981.1683775782594
2017-01-02 19:30:00,-1977.3750121179182,-2449.3135344724974,-801.6905083246364,-5417.927351365548,-3611.6591668719902
2017-01-02 20:00:00,-1783.1480347795457,-2418.987740240009,-733.0940607240715,-5107.799422552648,-3583.151142567785
2017-01-02 20:30:00,-1972.1305825266074,-2707.599743250889,-801.4582386339345,-5444.99434781461,-3924.555855023169
2017-01-02 21:00:00,-2022.6813006767727,-2517.099209902507,-820.3463238816466,-5548.34830315418,-3710.2728093253695
2017-01-02 21:30:00,-1764.8227620892171,-2417.3843393210605,-729.0077003684405,-5130.733056984342,-3601.28544592961
2017-01-02 22:00:00,-1566.6196947743974,-2243.76897570307,-658.9901822187089,-4813.888661739579,-3406.586279595137
2017-01-02 22:30:00,-1253.0492089130087,-1954.6186560918932,-547.7398846798418,-4302.164020174805,-3077.8865271519376
2017-01-02 23:00:00,-1104.864183864787,-1816.8854213801508,-495.5990160056481,-4069.8107968757986,-2924.804430412831
2017-01-02 23:30:00,-1103.2691712547166,-1749.8459643786966,-495.85000735276697,-4085.0794593041255,-2853.7149009100644
2017-01-03 00:00:00,-1021.5795320558548,-1853.6669201899572,-467.4748570214415,-3965.0511656665603,-2980.7939279524994
2017-01-03 00:30:00,-922.0008205473238,-1566.6613880167013,-432.7060802979042,-3814.80440253332,-2654.5817583476655
2017-01-03 01:00:00,-660.3497685488977,-1325.4575852673108,-340.0119972383987,-3390.782790016783,-2381.4916809687816
2017-01-03 01:30:00,-611.8796239013575,-1344.0361742397567,-323.5096278664615,-3326.869328125889,-2409.7042911808853
2017-01-03 02:00:00,-440.6946435499113,-1225.1320615603538,-263.14848266250095,-3055.6642607680383,-2278.4607225872796
2017-01-03 02:30:00,-401.24905513997834,-1139.392502293765,-249.87152598608586,-3006.995204660583,-2185.682305576139
2017-01-03 03:00:00,-429.35477466277126,-1105.8488817058924,-260.73767845198876,-3072.434756468738,-2153.4421586956028
2017-01-03 03:30:00,-293.0000820535226,-953.2031778545037,-212.82501817234478,-2860.065495095894,-1983.0641744230431
2017-01-03 04:00:00,-318.1769651310893,-985.4011928383508,-222.64439271312648,-2920.5576156876155,-2027.072965559816
2017-01-03 04:30:00,-308.4986962873213,-939.0932247839935,-220.00639577196785,-2922.1719293774845,-1980.0283811209606
2017-01-03 05:00:00,-253.391226521799,-936.0253506697013,-201.13181970795102,-2847.0466056785035,-1983.1348343620518
2017-01-03 05:30:00,-205.3005864581734,-1027.1728668461594,-184.76508680064586,-2783.774208203568,-2095.5148612232992
2017-01-03 06:00:00,-383.45780450064007,-1048.1282728511885,-249.2602483352812,-3102.6828361217376,-2126.4841685120696
2017-01-03 06:30:00,-440.19574623266755,-1164.0162340858762,-270.35967217578263,-3216.488335500885,-2267.5588368339427
2017-01-03 07:00:00,-599.3322090030156,-1320.1368499015111,-328.0567392758656,-3503.2668393396452,-2455.2964328231346
2017-01-03 07:30:00,-775.9956325228956,-1483.6726520605255,-391.1969573711793,-3801.6891489052196,-2644.9697066015165
2017-01-03 08:00:00,-1014.9273403696719,-1742.874452136295,-476.59211072409465,-4205.29590950928,-2945.5990082012754
2017-01-03 08:30:00,-1024.283238784142,-1791.7888765967245,-479.9359464462682,-4221.100023101548,-3002.3312888389655
2017-01-03 09:00:00,-1229.5924097167135,-2095.6744220108353,-553.3142698782933,-4567.911127199713,-3354.786014297664
2017-01-03 09:30:00,-1390.5278516210203,-2110.013321390635,-610.8332440872366,-4839.765511696201,-3371.416660014624
2017-01-03 10:00:00,-1254.7048432756517,-2184.086653344405,-562.2895546329046,-4610.331398878796,-3457.3289262331436
2017-01-03 10:30:00,-1367.0917941561452,-2111.2413097560943,-593.6991800215932,-4608.571878976741,-3301.751238313224
2017-01-03 11:00:00,-1429.6959846490593,-2261.3978793282236,-616.0741694939235,-4714.323747377933,-3475.9069140372694
2017-01-03 11:30:00,-1580.1790900676817,-2321.493107665904,-661.0995137349047,-4776.9167810284025,-3474.5173192582947
2017-01-03 12:00:00,-1570.8344367488357,-2120.2393414312437,-666.5176199244653,-4952.7367816378855,-3312.187400320902
2017-01-03 12:30:00,-1542.895538915693,-2418.318778037535,-647.7742226010588,-4713.93688840603,-3586.8183667519575
2017-01-03 13:00:00,-1542.7526943106318,-2384.232760220671,-656.4810922340286,-4905.300712144465,-3618.3741517030244
2017-01-03 13:30:00,-1715.0114493788587,-2450.690012360602,-709.2891412400879,-5004.677475733207,-3624.3634052648886
2017-01-03 14:00:00,-1709.3197159444157,-2235.415238437283,-707.2548928188198,-4995.062920534989,-3374.6818640190522
2017-01-03 14:30:00,-1382.2464494663072,-2351.7987657720914,-599.1155147805267,-4634.171333284949,-3580.7563222885806
2017-01-03 15:00:00,-1464.6946756624134,-2280.2366379466243,-628.5828424246561,-4773.444022508353,-3497.756618957532
2017-01-03 15:30:00,-1258.4819715565582,-2013.988746830261,-556.2500180508781,-4455.044957437402,-3200.0628310968696
2017-01-03 16:00:00,-1439.001263165568,-2164.493530326432,-622.1367643576414,-4789.918952769623,-3385.7301366853
2017-01-03 16:30:00,-1392.8928754371507,-2129.951907695951,-607.0258665867693,-4741.970323407543,-3356.7755846279174
2017-01-03 17:00:00,-1353.0117421521013,-2215.112417792875,-594.1406145995857,-4704.54085877247,-3466.65482366042
2017-01-03 17:30:00,-1618.447881760328,-2369.7022721951635,-690.3769839115535,-5182.85757357686,-3657.0601056561627
2017-01-03 18:00:00,-1578.1121773798686,-2255.6495913683348,-677.3292663866143,-5144.6602411316235,-3535.8864645027998
2017-01-03 18:30:00,-1694.759760125294,-2546.3612785940227,-720.3880070574895,-5371.641258420056,-3884.1695526025705
2017-01-03 19:00:00,-1779.400493211156,-2594.6511581926434,-752.0073709304771,-5544.55586056144,-3951.2852309923314
2017-01-03 19:30:00,-1685.3047099077294,-2316.249638647925,-719.7455849787736,-5415.54625585876,-3639.4953341337705
2017-01-03 20:00:00,-1504.7348667315568,-2304.390769693072,-656.5776222352578,-5140.463467751295,-3636.848857073822
2017-01-03 20:30:00,-1450.2943571083404,-2378.117719752682,-638.4887905879065,-5078.440102318294,-3733.4671420241707
2017-01-03 21:00:00,-1432.5320749662922,-2327.2984064116154,-633.5089049598768,-5078.374108352567,-3685.633281302458
2017-01-03 21:30:00,-1574.742222456043,-2278.38024492369,-685.7038090814202,-5348.535765172548,-3640.004428237629
2017-01-03 22:00:00,-1392.170848254318,-1985.8496963020543,-621.8204910993386,-5070.071963047514,-3311.8272989507627
2017-01-03 22:30:00,-901.9121426012359,-1700.0212299152759,-447.96848335721893,-4271.858445637188,-2991.423427029156
2017-01-03 23:00:00,-787.4193624328169,-1664.8262448264309,-408.4167286905137,-4108.39395043496,-2961.7110874120717
2017-01-03 23:30:00,-747.4679111449644,-1662.6716506356577,-395.5063447663135,-4070.845703652555,-2970.319892313928
2017-01-04 00:00:00,-726.9827147480337,-1474.8526610004058,-389.5532786321967,-4066.1801250954,-2763.5900787412925
2017-01-04 00:30:00,-553.7212915749272,-1300.1265386664754,-328.9973745917868,-3803.442821600061,-2572.0457289717015
2017-01-04 01:00:00,-304.18878738193087,-1067.2793778430516,-241.18187943732121,-3411.8673483380344,-2313.091017066338
2017-01-04 01:30:00,-207.11954255989684,-1184.230798282543,-207.85736637979008,-3277.8349311249463,-2459.842219066363
2017-01-04 02:00:00,-145.74237638138342,-896.7862040918825,-187.28934578077582,-3204.0940690610587,-2137.5639181368065
2017-01-04 02:30:00,-41.52672905694921,-959.5717178196959,-151.41067972650018,-3057.989849449035,-2221.492027471215
2017-01-04 03:00:00,-100.0,-926.5781195247293,-113.1979600681412,-2900.854092598278,-2194.3329161658316
2017-01-04 03:30:00,-100.0,-894.5785591088649,-113.81431181331136,-2927.2378343503824,-2168.326717044192
2017-01-04 04:00:00,-100.0,-859.9569384286392,-76.08862361086733,-2772.403955071312,-2139.2793810716526
2017-01-04 04:30:00,-100.0,-772.785741425375,-107.3483585708478,-2943.6188277210454,-2049.28361640481
2017-01-04 05:00:00,-100.0,-642.1449380799867,-40.03171443494724,-2648.927949554436,-1908.870619328193
2017-01-04 05:30:00,-100.0,-786.1856535167107,-56.04135024744195,-2748.065627256457,-2087.0407228692748
2017-01-04 06:00:00,-100.0,-910.0325834278768,-82.70536769123737,-2897.5595639217613,-2241.7895244077117
2017-01-04 06:30:00,-109.4976410178381,-999.1182996534609,-186.65116062277053,-3412.313656856475,-2356.2213243280976
2017-01-04 07:00:00,-230.49984515993205,-1215.0193690603005,-231.26626049482869,-3646.650561111114,-2617.737021998665
2017-01-04 07:30:00,-455.59257666765274,-1281.9250979926844,-311.71530804466295,-4026.8803306049595,-2695.336107175102
